presyn_cell_group,postsyn_cell_group,synapses,synapse_fraction
SNgolden,INbiax,0,0
SNgolden,INsplitPUh,0,0
SNgolden,INdc,0,0
SNgolden,INfoot,0,0
SNgolden,INW,0,0
SNgolden,INmidL,0,0
SNgolden,INhook,0,0
SNgolden,INMBtype6,0,0
SNgolden,INMBtype5,0,0
SNgolden,INMBtype7,0,0
SNgolden,INcross,0,0
SNgolden,INpro,0,0
SNgolden,INproT2,0,0
SNgolden,INpear,0,0
SNgolden,INZ,0,0
SNgolden,INbigloop,0,0
SNgolden,INUturn,0,0
SNgolden,INdecussfoot,0,0
SNgolden,INdecusshook,0,0
SNgolden,INlasso.postSN,0,0
SNgolden,INR1,0,0
SNgolden,INmus,0,0
SNgolden,INdescLuqinPDF,0,0
SNgolden,INsqNSasym,0,0
SNgolden,INhorn,0,0
SNgolden,INMBPDF,0,0
SNgolden,INMBdescFMRF,0,0
SNgolden,INDLSO,1,0.058823529411764705
SNgolden,INexsn,0,0
SNgolden,MBmouth.young.1360479,0,0
